FormulaBomItemID,ProductFormulaRef,ItemRef,Quantity,SecondaryQuantity,Description,ItemTracingRef
858,105,1960,0.1050,105.0000,,
859,105,2044,0.0080,8.0000,,
860,105,2047,0.0630,,,
861,105,2062,0.0180,,,
862,105,2064,0.0850,,,
863,105,2245,0.0580,,,
864,105,2206,0.2130,213.0000,,
865,105,1864,0.0380,,,
866,105,1865,0.0580,,,
867,106,1878,0.0001,0.1000,,
868,106,1886,0.0001,0.1000,,
869,106,1887,0.0002,0.2000,,
870,106,1893,0.0010,1.0400,,
871,106,1906,0.0001,0.1000,,
872,106,1969,0.0120,12.0000,,
873,106,1972,0.0064,6.4000,,
874,106,1928,0.1420,,,
875,106,2054,0.0012,,,
876,106,2245,0.0032,,,
877,106,1861,0.0016,1.6000,,
878,106,2014,0.0018,,,
879,107,2253,0.0008,0.8000,,
880,107,1885,0.0008,0.8000,,
881,107,1886,0.0019,1.9000,,
882,107,1889,0.0008,0.8000,,
883,107,1893,0.0030,3.0000,,
884,107,1900,0.0004,0.4000,,
885,107,1903,0.0008,0.8000,,
886,107,1916,0.0014,1.4000,,
887,107,1918,0.0020,,,
888,107,2169,0.0030,3.0000,,
889,107,1957,0.0147,14.7000,,
890,107,1960,0.1334,133.4000,,
891,107,1972,0.0147,14.7000,,
892,107,2170,0.0147,14.7000,,
893,107,1930,1.3000,,,
894,107,1863,0.0380,,,
895,107,2031,0.0600,,,
909,109,2114,0.0178,17.8000,,
910,109,1884,0.0073,,,
911,109,1905,0.0098,,,
912,109,1907,0.0100,,,
913,109,1908,0.0100,,,
914,109,2210,0.1000,,,
915,109,2165,1.0000,,,
916,76,2186,1.0000,,,
917,110,1941,0.0870,,,
918,110,1864,0.0027,,,
919,110,2154,0.0129,,,
920,111,2180,0.1200,,,
921,111,2218,0.0300,,,
922,111,1970,0.2000,,200 گرم خام 160 گرم پخته,
923,111,2189,2.0000,,,
924,111,1995,2.0000,,,
925,111,1997,2.0000,,,
926,111,2216,1.0000,,,
927,111,2217,1.0000,,,
928,111,2000,1.0000,,,
929,111,2284,1.0000,,,
932,59,2013,1.0000,,,
933,60,2013,1.0000,,,
934,61,2013,1.0000,,,
935,63,2013,1.0000,,,
936,64,2013,1.0000,,,
937,65,2013,1.0000,,,
938,66,2013,1.0000,,,
939,67,2013,1.0000,,,
940,68,2013,1.0000,,,
941,77,2012,1.0000,,,
942,78,2012,1.0000,,,
943,79,2012,1.0000,,,
944,80,2012,1.0000,,,
945,81,2012,1.0000,,,
946,82,2012,1.0000,,,
947,83,2012,1.0000,,,
948,84,2012,1.0000,,,
