LocationId,Title,Title_En,Code,Parent,Type,Version,Creator,CreationDate,LastModifier,LastModificationDate,MinistryofFinanceCode,TaxFileCode
90,خلخال,خلخال,0452422,6,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,6104000,
91,سرعين,سرعين,,6,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,6101101,
92,فلاورجان,فلاورجان,0335322,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2008000,
93,فولادشهر,فولادشهر,0334262,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2012105,
94,فريدن,فريدن,,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2006000,
95,فريدونشهر,فريدونشهر,,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2007000,
96,كاشان,كاشان,,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2010000,
97,مباركه,مباركه,,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2017000,
98,نايين,نايين,,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2013000,
99,نجف اباد,نجف اباد,0331,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2014000,
100,نطنز,نطنز,0362424,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2015000,
101,گلپايگان,گلپايگان,,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2011000,
102,اران و بيدگل,اران و بيدگل,,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2010200,
103,اردستان,اردستان,0362524,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2002000,
104,اصفهان,اصفهان,0311,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2001000,
105,باغ بهادران,باغ بهادران,0335622,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2012200,
106,تيران,تيران,0332322,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2014201,
107,خميني شهر,خميني شهر,0312322,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2003000,
108,خوانسار,خوانسار,0371,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2004000,
109,دولت آباد,دولت آباد,0312582,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2016101,
110,زرين شهر,زرين شهر,0334222,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2012101,
111,سميرم,سميرم,0322322,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2005000,
112,شهرضا,شهرضا,0321,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2009000,
113,شاهين شهر,شاهين شهر,0312522,7,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2016106,
114,مهران,مهران,0842822,8,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2707000,
115,ابدانان,ابدانان,0842622,8,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2704000,
116,ايلام,ايلام,0841,8,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2701000,
117,ايوان,ايوان,,8,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2702000,
118,دهلران,دهلران,0842722,8,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2705000,
119,دره شهر,دره شهر,0842522,8,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2703000,
120,سرابله,سرابله,0842422,8,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2706101,
121,شيروان وچرداول,شيروان وچرداول,,8,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2706000,
122,كنگان,كنگان,,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8806000,
123,گناوه,گناوه,,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8807000,
