TaxTableItemId,FromAmount,ToAmount,Rate,TaxTableRef,InLineAmount,PartialAmount
165,230000001.0000,340000000.0000,20.00,46,39500000.0000,22000000.0000000000
166,340000001.0000,99999999999.0000,30.00,46,29937499999.0000,29897999999.0000000000
167,1.0000,100000000.0000,0.00,47,0.0000,0E-10
168,100000001.0000,140000000.0000,5.00,47,2000000.0000,2000000.0000000000
169,140000001.0000,230000000.0000,7.50,47,8750000.0000,6750000.0000000000
170,230000001.0000,340000000.0000,10.00,47,19750000.0000,11000000.0000000000
171,340000001.0000,99999999999.0000,15.00,47,14968749999.0000,14949000000.0000000000
172,1.0000,99999999999.0000,0.00,48,0.0000,0E-10
173,1.0000,100000000.0000,0.00,49,0.0000,0E-10
174,100000001.0000,800000000.0000,10.00,49,70000000.0000,70000000.0000000000
175,800000001.0000,99999999999.0000,20.00,49,19910000000.0000,19840000000.0000000000
176,1.0000,100000000.0000,0.00,50,0.0000,0E-10
177,100000001.0000,800000000.0000,5.00,50,35000000.0000,35000000.0000000000
178,800000001.0000,99999999999.0000,10.00,50,9955000000.0000,9920000000.0000000000
179,1.0000,99999999999.0000,0.00,51,0.0000,0E-10
180,1.0000,120000000.0000,0.00,52,0.0000,0E-10
181,120000001.0000,165000000.0000,10.00,52,4500000.0000,4500000.0000000000
182,165000001.0000,270000000.0000,15.00,52,20250000.0000,15750000.0000000000
183,270000001.0000,400000000.0000,20.00,52,46250000.0000,26000000.0000000000
184,400000001.0000,99999999999.0000,30.00,52,29926250000.0000,29879999999.0000000000
185,1.0000,120000000.0000,0.00,53,0.0000,0E-10
186,120000001.0000,165000000.0000,5.00,53,2250000.0000,2250000.0000000000
187,165000001.0000,270000000.0000,7.50,53,10125000.0000,7875000.0000000000
188,270000001.0000,400000000.0000,10.00,53,23125000.0000,13000000.0000000000
189,400000001.0000,99999999999.0000,15.00,53,14963125000.0000,14940000000.0000000000
190,1.0000,9999999999.0000,0.00,54,0.0000,0E-10
191,1.0000,120000000.0000,0.00,55,0.0000,0E-10
192,120000001.0000,960000000.0000,10.00,55,84000000.0000,84000000.0000000000
193,960000001.0000,99999999999.0000,20.00,55,19892000000.0000,19808000000.0000000000
194,1.0000,120000000.0000,0.00,56,0.0000,0E-10
